Nombre_del_Producto,Fecha,Cantidad_de_Ventas,precio_unitario_de_venta,costo_unitario_de_compra
Instant Pasta Nissin Chicken 85gr,17/04/2023,11,1.61,0.99
Fries JR Fritas 300g,17/04/2023,5,7.61,5.51
Coffee Mantiqueira 500g,17/04/2023,35,8.92,6.29
Coffee Santa Barbara kg,17/04/2023,34,7.16,5.24
Chicken Steak Perdigao 100gr,17/04/2023,30,1.19,0.85
Corn Flour Mimoso 1kg,17/04/2023,10,1.8,1.3
Beer Clacial 473ml,17/04/2023,4,1.99,1.95
Salt Marlin 1kg,17/04/2023,37,1.21,0.77
Soy Oil Soya 900ml,17/04/2023,37,3.77,2.9
Wheat Flour Vilma 1kg,17/04/2023,34,3.47,2.78
"Beef ""Acem cut"" kg",17/04/2023,20,19.56,12.73
Bologna Bolonha kg,17/04/2023,0,20.22,12.32
Beer Skol 473ml,17/04/2023,14,2.92,2.53
Corn Flour Moinho Dagua 1kg,17/04/2023,29,4.12,2.2
Soda Coca Cola 2lt reciclable bottle,17/04/2023,4,5.72,4.13
Common Bread kg,17/04/2023,75,8.06,3.92
Milk cream Quata 200gr,17/04/2023,12,2.25,1.67
Tomato Kg,17/04/2023,45,5.05,3.25
Potato kg,17/04/2023,121,2.99,2
Zucchini kg,17/04/2023,11,2.79,1.87
Cabbage kg,17/04/2023,14,1.55,1
Beetroot kg,17/04/2023,7,2.77,1.5
Yam kg,17/04/2023,24,3.54,2
Green Pepper kg,17/04/2023,5,3.06,2
Sweet potato kg,17/04/2023,15,2.69,2
Carrots kg,17/04/2023,17,3.45,2.25
Pumpkin kg,17/04/2023,42,2.12,1.4
Oranges kg,17/04/2023,27,1.54,1
Garlic Kg,17/04/2023,19,18.51,12.7
Onion Kg,17/04/2023,29,4.5,3.15
Apple Kg,17/04/2023,21,4.66,3.22
Banana kg,17/04/2023,14,2.61,1.5
Lettuce kg,17/04/2023,18,1.36,0.85
Soy Oil Corcovado 900ml,17/04/2023,2,3.25,2.79
"Pork ""Pernil cut"" boneless kg",17/04/2023,2,14.26,8.78
Ham kg,17/04/2023,2,20.48,12.21
Ground beef kg,17/04/2023,24,14.56,7.38
Generic Ham kg,17/04/2023,2,16.97,10.2
Bologna Confianca kg,17/04/2023,9,6.9,4.89
Sweet Bread kg,18/04/2023,6,8.97,1.76
Frozen Chicken kg,18/04/2023,30,7.17,4.84
Salsage kg,18/04/2023,15,7.04,5.12
Calabrezza Saussage kg,18/04/2023,3,14.52,10.95
Mozarella Cheese kg,18/04/2023,4,29.54,17.98
Dish Soap Ype Clear 500ml,18/04/2023,16,1.73,1.35
Dish Soap Ype Apple 500ml,18/04/2023,8,1.89,1.35
Dish soap Ype Neutro 500ml,18/04/2023,11,1.86,1.35
Rice Albaruska Pilao 5kg,18/04/2023,18,17.32,14.83
Tomato sauce Elefante 130g,18/04/2023,25,2.23,1.56
Coffee Mineiro 500gr,18/04/2023,24,7.06,5.5
Instant Pasta Nissin Chicken 85gr,18/04/2023,6,1.71,0.99
Fries JR Fritas 300g,18/04/2023,8,7.3,5.51
Coffee Mantiqueira 500g,18/04/2023,22,8.53,6.29
Coffee Santa Barbara kg,18/04/2023,12,7.83,5.24
Chicken Steak Perdigao 100gr,18/04/2023,21,1.16,0.85
Corn Flour Mimoso 1kg,18/04/2023,19,1.99,1.3
Beer Clacial 473ml,18/04/2023,15,1.99,1.95
Salt Marlin 1kg,18/04/2023,31,1.25,0.77
Soy Oil Soya 900ml,18/04/2023,25,3.45,2.9
Wheat Flour Vilma 1kg,18/04/2023,69,3.51,2.78
"Beef ""Acem cut"" kg",18/04/2023,11,19.34,12.63
Bologna Bolonha kg,18/04/2023,4,20.54,12.32
Beer Skol 473ml,18/04/2023,21,2.85,2.53
Corn Flour Moinho Dagua 1kg,18/04/2023,8,3.61,2.2
Soda Coca Cola 2lt reciclable bottle,18/04/2023,4,5.49,4.13
Soda Coca Cola 2lt,18/04/2023,1,6.85,5.69
Common Bread kg,18/04/2023,70,8.02,3.92
Milk cream Quata 200gr,18/04/2023,24,2.39,1.67
Tomato Kg,18/04/2023,53,4.34,3
Potato kg,18/04/2023,86,3,2
Zucchini kg,18/04/2023,3,2.8,1.66
Cabbage kg,18/04/2023,6,1.54,1
Beetroot kg,18/04/2023,9,2.67,1.5
Yam kg,18/04/2023,12,3.53,2
Green Pepper kg,18/04/2023,7,3.04,2
Sweet potato kg,18/04/2023,13,2.32,2
Carrots kg,18/04/2023,16,3.54,2.25
Pumpkin kg,18/04/2023,37,2.14,1.4
Oranges kg,18/04/2023,30,1.49,1
Garlic Kg,18/04/2023,16,18.23,12.7
Onion Kg,18/04/2023,27,4.34,3
Apple Kg,18/04/2023,17,4.65,3.78
Banana kg,18/04/2023,22,2.61,1.5
Lettuce kg,18/04/2023,10,1.3,0.85
"Pork ""Pernil cut"" boneless kg",18/04/2023,23,11.86,8.78
Ham kg,18/04/2023,4,19.63,12.21
Ground beef kg,18/04/2023,13,14.3,7.06
Generic Ham kg,18/04/2023,3,16.38,10.2
Bologna Confianca kg,18/04/2023,14,7,4.89
Sweet Bread kg,19/04/2023,8,8.99,1.76
Frozen Chicken kg,19/04/2023,33,6.95,4.84
Salsage kg,19/04/2023,21,7.03,5.12
Calabrezza Saussage kg,19/04/2023,10,15.29,10.95
Mozarella Cheese kg,19/04/2023,4,29.54,17.98
Dish Soap Ype Clear 500ml,19/04/2023,19,1.76,1.35
Dish Soap Ype Apple 500ml,19/04/2023,5,1.75,1.35
Dish soap Ype Neutro 500ml,19/04/2023,7,1.81,1.35
Rice Albaruska Pilao 5kg,19/04/2023,21,17.62,14.83
Tomato sauce Elefante 130g,19/04/2023,9,2.15,1.56
Coffee Mineiro 500gr,19/04/2023,10,6.75,5.5
Fries JR Fritas 300g,19/04/2023,6,7.39,5.51
Coffee Mantiqueira 500g,19/04/2023,26,8.66,6.29
Coffee Santa Barbara kg,19/04/2023,13,7.53,5.24
Chicken Steak Perdigao 100gr,19/04/2023,42,1.18,0.85
Corn Flour Mimoso 1kg,19/04/2023,35,1.83,1.3
Salt Marlin 1kg,19/04/2023,42,1.22,0.77
Soy Oil Soya 900ml,19/04/2023,23,3.37,2.9
Wheat Flour Vilma 1kg,19/04/2023,61,3.46,2.78
"Beef ""Acem cut"" kg",19/04/2023,11,19.02,12.63
Bologna Bolonha kg,19/04/2023,3,20.23,12.32
Beer Skol 473ml,19/04/2023,61,2.89,2.53
Corn Flour Moinho Dagua 1kg,19/04/2023,21,3.49,2.2
Soda Coca Cola 2lt reciclable bottle,19/04/2023,16,6.44,4.13
Soda Coca Cola 2lt,19/04/2023,1,6.85,5.69
Common Bread kg,19/04/2023,82,7.99,3.92
Milk cream Quata 200gr,19/04/2023,17,2.19,1.67
Tomato Kg,19/04/2023,39,4.37,3
Potato kg,19/04/2023,96,2.99,2
Zucchini kg,19/04/2023,4,2.79,1.66
Cabbage kg,19/04/2023,7,1.63,1
Beetroot kg,19/04/2023,3,2.61,1.5
Yam kg,19/04/2023,13,3.59,2
Green Pepper kg,19/04/2023,6,2.99,2
Sweet potato kg,19/04/2023,6,2.31,2
Carrots kg,19/04/2023,22,3.4,2.25
Pumpkin kg,19/04/2023,34,2.15,1.4
Oranges kg,19/04/2023,37,1.5,1
Garlic Kg,19/04/2023,17,18.26,12.7
Onion Kg,19/04/2023,32,4.4,3.15
Apple Kg,19/04/2023,24,4.7,3.78
Banana kg,19/04/2023,18,2.57,1.5
Lettuce kg,19/04/2023,25,1.3,0.85
"Pork ""Pernil cut"" boneless kg",19/04/2023,22,11.59,8.78
Sugar Delta 5kg,19/04/2023,2,10.74,7.55
Ham kg,19/04/2023,3,19.57,12.21
Ground beef kg,19/04/2023,20,14.08,7.06
Generic Ham kg,19/04/2023,2,16.43,10.2
Bologna Confianca kg,19/04/2023,11,6.9,4.89
Sweet Bread kg,20/04/2023,10,8.96,1.76
Frozen Chicken kg,20/04/2023,50,6.95,4.85
Salsage kg,20/04/2023,16,7.08,5.12
Calabrezza Saussage kg,20/04/2023,14,16.36,10.95
Mozarella Cheese kg,20/04/2023,18,29.54,16.99
Dish Soap Ype Clear 500ml,20/04/2023,11,1.79,1.35
Dish Soap Ype Apple 500ml,20/04/2023,5,1.77,1.35
Dish soap Ype Neutro 500ml,20/04/2023,5,1.69,1.35
Rice Albaruska Pilao 5kg,20/04/2023,22,16.81,14.83
Powder juice Frech orange 10gr,20/04/2023,19,0.5,0.32
Tomato sauce Elefante 130g,20/04/2023,19,2.19,1.56
Coffee Mineiro 500gr,20/04/2023,13,6.9,5.5
Instant Pasta Nissin Chicken 85gr,20/04/2023,17,1.67,0.99
Fries JR Fritas 300g,20/04/2023,22,7.2,5.51
Coffee Mantiqueira 500g,20/04/2023,33,8.34,6.29
Coffee Santa Barbara kg,20/04/2023,12,7.3,5.24
Chicken Steak Perdigao 100gr,20/04/2023,35,1.19,0.85
Corn Flour Mimoso 1kg,20/04/2023,22,1.85,1.3
Beer Clacial 473ml,20/04/2023,45,2.03,1.95
Salt Marlin 1kg,20/04/2023,40,1.16,0.77
Soy Oil Soya 900ml,20/04/2023,24,3.37,2.9
Wheat Flour Vilma 1kg,20/04/2023,31,3.3,2.75
"Beef ""Acem cut"" kg",20/04/2023,27,19.21,12.63
Bologna Bolonha kg,20/04/2023,3,20.14,12.32
Beer Skol 473ml,20/04/2023,82,2.88,2.53
Corn Flour Moinho Dagua 1kg,20/04/2023,13,3.29,2.2
Soda Coca Cola 2lt reciclable bottle,20/04/2023,47,6.63,4.13
Soda Coca Cola 2lt,20/04/2023,6,6.92,5.69
Common Bread kg,20/04/2023,88,8,3.92
Milk cream Quata 200gr,20/04/2023,30,2.18,1.67
Tomato Kg,20/04/2023,68,4.2,3
Potato kg,20/04/2023,129,2.95,2
Zucchini kg,20/04/2023,9,2.85,1.66
Cabbage kg,20/04/2023,7,1.55,1
Beetroot kg,20/04/2023,7,2.61,1.5
Yam kg,20/04/2023,15,3.39,2
Green Pepper kg,20/04/2023,10,3.03,2
Sweet potato kg,20/04/2023,9,2.11,1.25
Carrots kg,20/04/2023,27,3.44,2.25
Pumpkin kg,20/04/2023,32,2.05,1.25
Oranges kg,20/04/2023,36,1.5,1
Garlic Kg,20/04/2023,14,15.22,10
Onion Kg,20/04/2023,43,4.28,3.15
Apple Kg,20/04/2023,24,4.6,3.22
Banana kg,20/04/2023,37,2.51,1.5
Lettuce kg,20/04/2023,9,1.29,0.85
"Pork ""Pernil cut"" boneless kg",20/04/2023,30,11.63,8.78
Ham kg,20/04/2023,8,19.58,12.21
Ground beef kg,20/04/2023,25,14,7.06
Generic Ham kg,20/04/2023,7,16.5,10.2
Bologna Confianca kg,20/04/2023,16,6.88,4.89
Sweet Bread kg,21/04/2023,2,8.98,1.76
Frozen Chicken kg,21/04/2023,30,6.99,4.85
Salsage kg,21/04/2023,16,7.2,5.12
Calabrezza Saussage kg,21/04/2023,6,18.82,13.96
Mozarella Cheese kg,21/04/2023,7,30.78,16.99
Dish Soap Ype Clear 500ml,21/04/2023,8,1.7,1.35
Dish soap Ype Neutro 500ml,21/04/2023,6,1.91,1.35
Rice Albaruska Pilao 5kg,21/04/2023,12,17.58,14.83
Powder juice Frech orange 10gr,21/04/2023,6,0.51,0.32
Tomato sauce Elefante 130g,21/04/2023,14,2.2,1.61
Instant Pasta Nissin Chicken 85gr,21/04/2023,4,1.78,0.99
Fries JR Fritas 300g,21/04/2023,25,7.18,5.51
Coffee Mantiqueira 500g,21/04/2023,7,8.19,6.29
Coffee Santa Barbara kg,21/04/2023,3,6.89,5.24
Chicken Steak Perdigao 100gr,21/04/2023,12,1.22,0.85
Corn Flour Mimoso 1kg,21/04/2023,6,1.92,1.3
Beer Clacial 473ml,21/04/2023,42,1.99,1.95
Salt Marlin 1kg,21/04/2023,15,1.19,0.77
Soy Oil Soya 900ml,21/04/2023,19,3.88,2.9
Wheat Flour Vilma 1kg,21/04/2023,11,3.8,2.75
"Beef ""Acem cut"" kg",21/04/2023,10,20.41,12.63
Bologna Bolonha kg,21/04/2023,3,20.17,12.32
Beer Skol 473ml,21/04/2023,105,2.9,2.53
Soda Coca Cola 2lt reciclable bottle,21/04/2023,31,6.45,4.13
Common Bread kg,21/04/2023,44,8.01,3.92
Milk cream Quata 200gr,21/04/2023,29,2.24,1.67
Tomato Kg,21/04/2023,42,4.37,3
Potato kg,21/04/2023,58,2.94,2
Cabbage kg,21/04/2023,2,1.49,1
Beetroot kg,21/04/2023,3,2.75,1.5
Yam kg,21/04/2023,3,3.42,2
Green Pepper kg,21/04/2023,6,2.99,2
Sweet potato kg,21/04/2023,4,2.08,1.25
Carrots kg,21/04/2023,20,3.43,2.25
Pumpkin kg,21/04/2023,12,2.04,1.25
Oranges kg,21/04/2023,29,1.5,1
Garlic Kg,21/04/2023,6,16.36,10
Onion Kg,21/04/2023,20,4.27,3.15
Apple Kg,21/04/2023,12,4.65,3.22
Banana kg,21/04/2023,7,2.48,1.5
Lettuce kg,21/04/2023,4,1.69,0.85
"Pork ""Pernil cut"" boneless kg",21/04/2023,18,11.43,8.78
Ham kg,21/04/2023,4,19.61,12.21
Ground beef kg,21/04/2023,23,14.07,7.06
Generic Ham kg,21/04/2023,5,17.25,10.2
Bologna Confianca kg,21/04/2023,4,6.84,4.89
Sweet Bread kg,22/04/2023,7,8.98,1.76
Frozen Chicken kg,22/04/2023,18,6.79,4.85
Salsage kg,22/04/2023,6,7.03,5.12
Calabrezza Saussage kg,22/04/2023,3,16.74,13.96
Mozarella Cheese kg,22/04/2023,3,29.44,16.99
Dish Soap Ype Clear 500ml,22/04/2023,13,1.74,1.35
Dish Soap Ype Apple 500ml,22/04/2023,8,1.69,1.35
Dish soap Ype Neutro 500ml,22/04/2023,3,1.69,1.35
Rice Albaruska Pilao 5kg,22/04/2023,18,16.42,14.83
Powder juice Frech orange 10gr,22/04/2023,13,0.5,0.32
Tomato sauce Elefante 130g,22/04/2023,15,2.05,1.61
Coffee Mineiro 500gr,22/04/2023,9,6.71,5.5
Instant Pasta Nissin Chicken 85gr,22/04/2023,23,1.56,0.99
Fries JR Fritas 300g,22/04/2023,5,7.2,5.51
Coffee Mantiqueira 500g,22/04/2023,7,8.2,6.29
Coffee Santa Barbara kg,22/04/2023,9,7.37,5.24
Chicken Steak Perdigao 100gr,22/04/2023,23,1.17,0.85
Corn Flour Mimoso 1kg,22/04/2023,27,1.84,1.3
Beer Clacial 473ml,22/04/2023,16,2.01,1.95
Salt Marlin 1kg,22/04/2023,52,1.15,0.77
Soy Oil Soya 900ml,22/04/2023,12,3.35,2.9
Wheat Flour Vilma 1kg,22/04/2023,49,3.06,2.75
"Beef ""Acem cut"" kg",22/04/2023,7,19.01,12.63
Bologna Bolonha kg,22/04/2023,4,20.43,12.32
Beer Skol 473ml,22/04/2023,22,2.89,2.53
Corn Flour Moinho Dagua 1kg,22/04/2023,11,3.25,2.2
Soda Coca Cola 2lt reciclable bottle,22/04/2023,2,6.46,4.13
Common Bread kg,22/04/2023,71,7.99,3.92
Milk cream Quata 200gr,22/04/2023,10,2.19,1.67
Tomato Kg,22/04/2023,42,3.1,3
Potato kg,22/04/2023,75,2.93,2
Zucchini kg,22/04/2023,10,2.81,1.66
Cabbage kg,22/04/2023,7,1.36,0.85
Beetroot kg,22/04/2023,9,2.38,1.5
Yam kg,22/04/2023,15,3.39,2
Green Pepper kg,22/04/2023,4,3.03,2
Sweet potato kg,22/04/2023,7,1.99,1.25
Carrots kg,22/04/2023,15,3.05,2.25
Pumpkin kg,22/04/2023,37,2.01,1.25
Oranges kg,22/04/2023,39,1.49,1
Garlic Kg,22/04/2023,11,15.08,10
Onion Kg,22/04/2023,24,4.24,3.15
Apple Kg,22/04/2023,19,4.64,3.22
Banana kg,22/04/2023,16,2.49,1.5
Lettuce kg,22/04/2023,12,1.3,0.85
"Pork ""Pernil cut"" boneless kg",22/04/2023,39,11.48,8.78
Ham kg,22/04/2023,2,19.57,12.21
Ground beef kg,22/04/2023,13,13.99,7.06
Generic Ham kg,22/04/2023,2,16.35,10.2
Bologna Confianca kg,22/04/2023,10,6.86,4.89
Sweet Bread kg,23/04/2023,6,9.44,1.76
Frozen Chicken kg,23/04/2023,10,6.8,4.85
Salsage kg,23/04/2023,12,6.98,5.12
Calabrezza Saussage kg,23/04/2023,4,16.73,13.96
Mozarella Cheese kg,23/04/2023,4,30.58,16.99
Dish Soap Ype Clear 500ml,23/04/2023,10,1.69,1.35
Dish Soap Ype Apple 500ml,23/04/2023,16,1.81,1.35
Dish soap Ype Neutro 500ml,23/04/2023,2,1.69,1.35
Rice Albaruska Pilao 5kg,23/04/2023,41,16.94,14.83
Powder juice Frech orange 10gr,23/04/2023,9,0.5,0.32
Tomato sauce Elefante 130g,23/04/2023,7,2.05,1.61
Coffee Mineiro 500gr,23/04/2023,4,6.69,5.5
Instant Pasta Nissin Chicken 85gr,23/04/2023,13,1.55,0.99
Fries JR Fritas 300g,23/04/2023,8,7.42,5.51
Coffee Mantiqueira 500g,23/04/2023,30,8.38,6.29
Coffee Santa Barbara kg,23/04/2023,8,6.95,5.24
Chicken Steak Perdigao 100gr,23/04/2023,45,1.16,0.85
Corn Flour Mimoso 1kg,23/04/2023,12,1.81,1.3
Beer Clacial 473ml,23/04/2023,3,1.99,1.95
Salt Marlin 1kg,23/04/2023,30,1.16,0.77
Soy Oil Soya 900ml,23/04/2023,26,3.51,2.9
Wheat Flour Vilma 1kg,23/04/2023,38,3.45,2.75
"Beef ""Acem cut"" kg",23/04/2023,10,19.32,12.63
Bologna Bolonha kg,23/04/2023,2,20.24,12.32
Beer Skol 473ml,23/04/2023,5,2.89,2.53
Corn Flour Moinho Dagua 1kg,23/04/2023,5,3.29,2.2
Soda Coca Cola 2lt reciclable bottle,23/04/2023,8,6.75,4.13
Soda Coca Cola 2lt,23/04/2023,23,6.85,5.69
Common Bread kg,23/04/2023,70,8.03,3.92
Milk cream Quata 200gr,23/04/2023,48,2.19,1.67
Tomato Kg,23/04/2023,39,3.02,2
Potato kg,23/04/2023,74,2.93,2
Zucchini kg,23/04/2023,6,2.79,1.66
Cabbage kg,23/04/2023,13,1.29,0.85
Beetroot kg,23/04/2023,5,2.38,1.5
Yam kg,23/04/2023,15,3.39,2
Green Pepper kg,23/04/2023,2,3.03,2
Sweet potato kg,23/04/2023,16,2.01,1.25
Carrots kg,23/04/2023,9,3.02,2
Pumpkin kg,23/04/2023,38,2,1.25
Oranges kg,23/04/2023,63,1.5,1
Garlic Kg,23/04/2023,6,15.35,10
Onion Kg,23/04/2023,23,4.25,3.15
Apple Kg,23/04/2023,15,4.62,3.22
Banana kg,23/04/2023,23,2.55,1.5
Lettuce kg,23/04/2023,19,1.3,0.85
Soy Oil Corcovado 900ml,23/04/2023,2,3.25,2.79
"Pork ""Pernil cut"" boneless kg",23/04/2023,8,11.47,8.78
Ham kg,23/04/2023,1,20.02,12.21
Ground beef kg,23/04/2023,12,14.74,7.06
Generic Ham kg,23/04/2023,3,16.34,10.2
Bologna Confianca kg,23/04/2023,7,6.9,4.89
Sweet Bread kg,24/04/2023,8,9.06,1.76
Frozen Chicken kg,24/04/2023,28,7.19,4.85
Salsage kg,24/04/2023,22,7.14,5.12
Calabrezza Saussage kg,24/04/2023,2,17.57,13.96
Mozarella Cheese kg,24/04/2023,3,29.47,16.99
Dish Soap Ype Clear 500ml,24/04/2023,6,1.75,1.35
Dish Soap Ype Apple 500ml,24/04/2023,3,1.81,1.35
Dish soap Ype Neutro 500ml,24/04/2023,10,1.76,1.35
Rice Albaruska Pilao 5kg,24/04/2023,29,16.72,14.83
Powder juice Frech orange 10gr,24/04/2023,19,0.52,0.32
Tomato sauce Elefante 130g,24/04/2023,10,2.24,1.61
Coffee Mineiro 500gr,24/04/2023,22,6.87,5.5
Instant Pasta Nissin Chicken 85gr,24/04/2023,12,1.65,0.99
Fries JR Fritas 300g,24/04/2023,7,7.21,5.51
Coffee Mantiqueira 500g,24/04/2023,22,8.48,6.29
Coffee Santa Barbara kg,24/04/2023,1,6.89,5.24
Chicken Steak Perdigao 100gr,24/04/2023,21,1.36,0.85
Corn Flour Mimoso 1kg,24/04/2023,23,1.81,1.3
Beer Clacial 473ml,24/04/2023,9,1.99,1.95
Salt Marlin 1kg,24/04/2023,47,1.2,0.77
Soy Oil Soya 900ml,24/04/2023,37,3.51,2.9
Wheat Flour Vilma 1kg,24/04/2023,45,3.31,2.75
"Beef ""Acem cut"" kg",24/04/2023,7,19.02,12.63
Bologna Bolonha kg,24/04/2023,2,22.39,9.9
Beer Skol 473ml,24/04/2023,18,3,2.53
Corn Flour Moinho Dagua 1kg,24/04/2023,12,3.29,2.2
Soda Coca Cola 2lt reciclable bottle,24/04/2023,5,7.5,4.13
Common Bread kg,24/04/2023,78,8.13,3.92
Milk cream Quata 200gr,24/04/2023,15,2.2,1.67
Tomato Kg,24/04/2023,67,3.05,2
Potato kg,24/04/2023,104,2.94,2
Zucchini kg,24/04/2023,4,2.79,1.66
Cabbage kg,24/04/2023,6,1.29,0.85
Beetroot kg,24/04/2023,3,2.29,1.5
Yam kg,24/04/2023,18,3.41,2
Green Pepper kg,24/04/2023,2,2.99,2
Sweet potato kg,24/04/2023,8,2,1.25
Carrots kg,24/04/2023,23,3.03,2
Pumpkin kg,24/04/2023,21,2.03,1.25
Oranges kg,24/04/2023,36,1.53,1
Garlic Kg,24/04/2023,9,15.61,10
Onion Kg,24/04/2023,25,4.34,3.15
Apple Kg,24/04/2023,16,4.66,3.22
Banana kg,24/04/2023,15,2.56,1.5
Lettuce kg,24/04/2023,9,1.3,0.85
Soy Oil Corcovado 900ml,24/04/2023,1,3.25,2.79
"Pork ""Pernil cut"" boneless kg",24/04/2023,28,11.6,7.06
Ham kg,24/04/2023,2,19.57,12.21
Ground beef kg,24/04/2023,8,13.98,7.06
Generic Ham kg,24/04/2023,3,16.37,10.2
Bologna Confianca kg,24/04/2023,19,7.04,4.89
Sweet Bread kg,25/04/2023,9,9.13,1.81
Frozen Chicken kg,25/04/2023,36,6.92,4.85
Salsage kg,25/04/2023,24,7.03,5.12
Calabrezza Saussage kg,25/04/2023,1,16.75,13.96
Mozarella Cheese kg,25/04/2023,5,30.11,16.99
Dish Soap Ype Clear 500ml,25/04/2023,5,1.69,1.35
Dish Soap Ype Apple 500ml,25/04/2023,11,1.77,1.35
Dish soap Ype Neutro 500ml,25/04/2023,6,1.69,1.35
Rice Albaruska Pilao 5kg,25/04/2023,22,17.17,14.83
Powder juice Frech orange 10gr,25/04/2023,4,0.5,0.32
Tomato sauce Elefante 130g,25/04/2023,15,2.17,1.61
Coffee Mineiro 500gr,25/04/2023,11,6.94,5.5
Instant Pasta Nissin Chicken 85gr,25/04/2023,8,1.55,0.99
Fries JR Fritas 300g,25/04/2023,13,7.49,5.51
Coffee Mantiqueira 500g,25/04/2023,18,8.19,6.29
Coffee Santa Barbara kg,25/04/2023,10,7.53,5.24
Chicken Steak Perdigao 100gr,25/04/2023,47,1.16,0.85
Corn Flour Mimoso 1kg,25/04/2023,26,1.87,1.3
Beer Clacial 473ml,25/04/2023,19,1.99,1.95
Salt Marlin 1kg,25/04/2023,35,1.19,0.77
Soy Oil Soya 900ml,25/04/2023,40,3.42,2.99
Wheat Flour Vilma 1kg,25/04/2023,57,3.44,2.75
"Beef ""Acem cut"" kg",25/04/2023,15,19.42,12.58
Bologna Bolonha kg,25/04/2023,3,17.27,9.9
Beer Skol 473ml,25/04/2023,9,2.65,2.53
Corn Flour Moinho Dagua 1kg,25/04/2023,29,3.38,2.2
Soda Coca Cola 2lt reciclable bottle,25/04/2023,8,6.6,4.13
Common Bread kg,25/04/2023,81,8.05,3.92
Milk cream Quata 200gr,25/04/2023,7,2.19,1.67
Tomato Kg,25/04/2023,76,3.04,2
Potato kg,25/04/2023,95,2.97,2
Zucchini kg,25/04/2023,12,2.9,1.66
Cabbage kg,25/04/2023,12,1.32,0.85
Beetroot kg,25/04/2023,6,3.1,2
Yam kg,25/04/2023,17,3.4,2
Green Pepper kg,25/04/2023,8,3.02,2
Sweet potato kg,25/04/2023,7,2.05,1.25
Carrots kg,25/04/2023,20,3.07,2
Pumpkin kg,25/04/2023,34,2.04,1.25
Oranges kg,25/04/2023,75,1.51,1
Garlic Kg,25/04/2023,17,15.33,10
Onion Kg,25/04/2023,33,4.36,3.15
Apple Kg,25/04/2023,24,4.61,3.22
Banana kg,25/04/2023,21,2.49,1.5
Lettuce kg,25/04/2023,24,1.3,0.85
"Pork ""Pernil cut"" boneless kg",25/04/2023,15,11.86,7.06
Ham kg,25/04/2023,4,19.91,12.35
Ground beef kg,25/04/2023,13,14.01,7.06
Generic Ham kg,25/04/2023,3,16.67,10.21
Bologna Confianca kg,25/04/2023,8,7.28,4.89
Sweet Bread kg,26/04/2023,7,9.08,1.81
Frozen Chicken kg,26/04/2023,53,6.89,4.85
Salsage kg,26/04/2023,21,7.01,5.12
Calabrezza Saussage kg,26/04/2023,12,16.86,13.96
Mozarella Cheese kg,26/04/2023,9,29.71,16.99
Dish Soap Ype Clear 500ml,26/04/2023,10,1.76,1.35
Dish Soap Ype Apple 500ml,26/04/2023,5,1.69,1.35
Dish soap Ype Neutro 500ml,26/04/2023,14,1.75,1.35
Rice Albaruska Pilao 5kg,26/04/2023,15,16.41,14.83
Powder juice Frech orange 10gr,26/04/2023,7,0.53,0.32
Tomato sauce Elefante 130g,26/04/2023,8,2.04,1.61
Coffee Mineiro 500gr,26/04/2023,17,6.97,5.5
Instant Pasta Nissin Chicken 85gr,26/04/2023,2,1.55,0.99
Fries JR Fritas 300g,26/04/2023,16,7.32,5.51
Coffee Mantiqueira 500g,26/04/2023,15,8.38,6.29
Coffee Santa Barbara kg,26/04/2023,8,6.84,5.24
Chicken Steak Perdigao 100gr,26/04/2023,36,1.14,0.85
Corn Flour Mimoso 1kg,26/04/2023,10,1.89,1.3
Beer Clacial 473ml,26/04/2023,7,1.99,1.95
Salt Marlin 1kg,26/04/2023,33,1.18,0.77
Soy Oil Soya 900ml,26/04/2023,35,3.61,2.99
Wheat Flour Vilma 1kg,26/04/2023,51,3.41,2.75
"Beef ""Acem cut"" kg",26/04/2023,16,19.17,12.58
Bologna Bolonha kg,26/04/2023,4,16.27,9.9
Beer Skol 473ml,26/04/2023,10,2.89,2.53
Corn Flour Moinho Dagua 1kg,26/04/2023,17,3.25,2.2
Soda Coca Cola 2lt reciclable bottle,26/04/2023,27,6.59,4.13
Common Bread kg,26/04/2023,81,7.98,3.92
Milk cream Quata 200gr,26/04/2023,13,2.26,1.67
Tomato Kg,26/04/2023,66,2.99,2
Potato kg,26/04/2023,96,2.91,2
Zucchini kg,26/04/2023,4,2.87,1.66
Cabbage kg,26/04/2023,11,1.29,0.85
Beetroot kg,26/04/2023,5,2.99,2
Yam kg,26/04/2023,19,3.4,2
Green Pepper kg,26/04/2023,6,3.02,2
Sweet potato kg,26/04/2023,9,1.99,1.25
Carrots kg,26/04/2023,24,3.02,2
Pumpkin kg,26/04/2023,29,2,1.25
Oranges kg,26/04/2023,47,1.5,1
Garlic Kg,26/04/2023,9,15.24,10
Onion Kg,26/04/2023,35,4.2,3.15
Apple Kg,26/04/2023,18,4.64,3.22
Banana kg,26/04/2023,11,2.49,1.5
Lettuce kg,26/04/2023,25,1.3,0.85
"Pork ""Pernil cut"" boneless kg",26/04/2023,15,11.49,7.06
Ham kg,26/04/2023,4,19.57,12.35
Ground beef kg,26/04/2023,15,14.15,7.06
Generic Ham kg,26/04/2023,9,16.3,10.21
Bologna Confianca kg,26/04/2023,6,6.84,4.89
Sweet Bread kg,27/04/2023,8,8.98,1.81
Frozen Chicken kg,27/04/2023,69,6.81,4.85
Salsage kg,27/04/2023,22,7.04,5.12
